id,skills,interests,education,experience_level,certifications,career
1,Python Game Design Physics Engine,Interactive Media,BSc Computer Science,Beginner,C++ Institute,Game Developer
2,Market Research Figma Data Analysis Roadmapping,Tech Leadership,BTech IT,Intermediate,PMP,Product Manager
3,CI/CD Observability SLIs/SLOs Prometheus Design Systems,Cloud Operations,Diploma CS,Intermediate,Terraform Associate AWS SA,Site Reliability Engineer
4,LLMs PyTorch Sentiment Analysis NLTK,Natural Language Processing,BTech IT,Advanced,AWS CCP,NLP Engineer
5,Tableau Statistics NumPy Matplotlib,Data Science Analytics,BE AI,Beginner,Google Cloud Associate Azure Fundamentals,Data Scientist
6,InVision Adobe XD Sketch User Research,Human-Computer Interaction Visual Design,BTech CSE,Intermediate,Figma Expert,UI/UX Designer
7,Docker Feature Engineering NumPy Python REST API,Machine Learning AI Systems,BTech IT,Intermediate,TensorFlow Developer AWS SageMaker,ML Engineer
8,OpenGL Physics Engine Python,Simulation,BCA,Intermediate,Google Play Academy,Game Developer
9,Docker RDS Azure,Networking,MSc Data Science,Advanced,Terraform Associate AWS CCP,Cloud Engineer
10,Roadmapping Product Analytics Stakeholder Management JIRA,Tech Leadership,BTech IT,Beginner,Google PM Certificate CSPO,Product Manager
11,Redis REST API Java GraphQL,APIs Distributed Systems,BCA,Intermediate,MongoDB Associate Azure Fundamentals,Backend Developer
12,Design Patterns Data Structures REST API SQL,Software Development Open Source,BE AI,Intermediate,RedHat RHCSA,Software Engineer
13,SIEM Linux Firewall,Cybersecurity Privacy,BTech IT,Intermediate,CEH,Cybersecurity Analyst
14,Power BI Pandas Data Visualization PostgreSQL,Reporting,BE AI,Intermediate,IBM Data Analyst Google Data Analytics,Data Analyst
15,Power BI Use Cases Confluence Requirements Gathering,Strategy,BTech IT,Intermediate,Scrum Master,Business Analyst
16,Agile A/B Testing Notion Data Analysis,User Research Business,MSc Data Science,Intermediate,Scrum Master,Product Manager
17,Lua C++ Physics Engine Game Design,3D Design,Diploma CS,Intermediate,AWS GameTech,Game Developer
18,R Seaborn NumPy Pandas,Analytics Machine Learning,BE AI,Advanced,Azure Fundamentals Google Cloud Associate,Data Scientist
19,NFT Ethereum Smart Contracts Rust Databricks,DeFi Blockchain,BE AI,Intermediate,Solidity Developer,Blockchain Developer
20,Helm Grafana Jenkins CI/CD,Automation Cloud Infrastructure,BTech IT,Advanced,RedHat RHCSA AWS SA,DevOps Engineer
21,InVision Figma Wireframing,User Experience Design,Diploma CS,Advanced,Adobe XD Certified HCI Certificate,UI/UX Designer
22,HLSL Shader Programming AI Pathfinding OpenGL,3D Design Interactive Media,Diploma CS,Beginner,Unity Certified Unreal Engine Cert,Game Developer
23,Docker RDS S3 IAM,Cloud Computing Networking,BE AI,Beginner,Azure Fundamentals AWS CCP,Cloud Engineer
24,Information Architecture InVision User Research Adobe XD,Design Human-Computer Interaction,MCA,Advanced,Interaction Design,UI/UX Designer
25,Power BI ETL Statistics Python,Data Analytics,MCA,Beginner,Tableau Desktop,Data Analyst
26,Sketch Usability Testing HTML User Research,Visual Design,Diploma CS,Advanced,Figma Expert Google UX Design,UI/UX Designer
27,Tableau R Databricks Spark,Reporting,BCA,Beginner,Power BI Associate Tableau Desktop,Data Analyst
28,App Store Google Play REST API React Native,Mobile Development,MCA,Beginner,Google Android Developer,Mobile App Developer
29,Networking Docker Security RDS,DevOps Cloud Computing,BTech IT,Beginner,Google Cloud Associate AWS SA,Cloud Engineer
30,Unity C# Multiplayer Networking HLSL,Game Development Graphics,BTech IT,Advanced,Google Play Academy Unity Certified,Game Developer
31,R Spark Looker,Insights Business Intelligence,BTech CSE,Advanced,AWS CCP Google Data Analytics,Data Analyst
32,PyTorch LLMs NER HuggingFace AI Pathfinding,Natural Language Processing Conversational AI,MSc Data Science,Beginner,AWS CCP,NLP Engineer
33,Game Design Shader Programming Python HLSL,3D Design Simulation,BTech CSE,Advanced,AWS GameTech,Game Developer
34,Prototyping Usability Testing User Research HTML,Design Human-Computer Interaction,BTech CSE,Intermediate,Interaction Design,UI/UX Designer
35,PyTorch HuggingFace Sentiment Analysis FastAPI LangChain,Conversational AI,BTech IT,Advanced,TensorFlow Developer Google Cloud ML,NLP Engineer
36,S3 Lambda Linux,Scalability Infrastructure,BE AI,Advanced,Google Cloud Associate,Cloud Engineer
37,Kotlin App Store React Native iOS,Android,Diploma CS,Advanced,Firebase,Mobile App Developer
38,MetaMask JavaScript Truffle Solidity,DeFi Decentralization,BTech IT,Beginner,Ethereum Developer Hyperledger,Blockchain Developer
39,Python TensorFlow Kafka NumPy,MLOps Deep Learning,BE AI,Intermediate,AWS SA TensorFlow Developer,ML Engineer
40,SIEM OWASP Vulnerability Assessment,Network Security,MCA,Intermediate,Cisco CCNA CISSP,Cybersecurity Analyst
41,Kubeflow Docker TensorFlow MLflow Python,Machine Learning AI Systems,BTech IT,Beginner,AWS SageMaker,ML Engineer
42,Express.js HTML MongoDB PostgreSQL,Full Stack Development Startups,BCA,Beginner,Azure Fundamentals,Full Stack Developer
43,C++ Shader Programming AI Pathfinding Lua,3D Design,BTech CSE,Intermediate,AWS GameTech,Game Developer
44,GraphQL Node.js Kafka Express.js,Databases Backend Systems,BCA,Beginner,Azure Fundamentals Oracle Java,Backend Developer
45,Adobe XD Prototyping Usability Testing Design Systems,Visual Design,Diploma CS,Beginner,Adobe XD Certified Google UX Design,UI/UX Designer
46,Unreal Engine Shader Programming AI Pathfinding C++,Graphics Simulation,BCA,Beginner,Google Play Academy,Game Developer
47,FastAPI Microservices MongoDB Docker HuggingFace,Databases APIs,MCA,Intermediate,Azure Fundamentals Oracle Java,Backend Developer
48,Spring Boot REST API MongoDB,Databases,BTech IT,Advanced,Spring Professional,Backend Developer
49,Rust NFT IPFS,Decentralization Web3,BSc Computer Science,Advanced,Ethereum Developer,Blockchain Developer
50,Transformers PyTorch LangChain Vector Databases,LLMs,BSc Computer Science,Advanced,Google Cloud Associate,AI Engineer
51,Wireshark Metasploit Incident Response,Cybersecurity Network Security,MCA,Intermediate,CompTIA CySA+ CompTIA Security+,Cybersecurity Analyst
52,CUDA NumPy PyTorch CNNs,Image Processing Computer Vision,MCA,Advanced,NVIDIA Deep Learning TensorFlow Developer,Computer Vision Engineer
53,Scikit-learn Seaborn PyTorch Python,Data Science Research,BE AI,Beginner,AWS CCP,Data Scientist
54,FastAPI Spring Boot Redis,Microservices APIs,BTech IT,Beginner,Spring Professional,Backend Developer
55,SIEM Cryptography Python Network Security,Ethical Hacking Privacy,MCA,Beginner,CISSP,Cybersecurity Analyst
56,Push Notifications REST API Kotlin iOS,Android Cross-platform Apps,Diploma CS,Beginner,Firebase,Mobile App Developer
57,Use Cases Stakeholder Management JIRA,Data,MCA,Intermediate,Tableau Desktop PMI-PBA,Business Analyst
58,Unreal Engine C++ Physics Engine,Game Development 3D Design,BTech IT,Intermediate,C++ Institute,Game Developer
59,Next.js Jest Figma Webpack Google Play,UI Design,Diploma CS,Advanced,Azure Fundamentals,Frontend Developer
60,Flutter React Native Google Play Android,UX,BE AI,Beginner,Apple iOS Developer AWS CCP,Mobile App Developer
61,Xcode Push Notifications Dart,Cross-platform Apps,BTech CSE,Advanced,Apple iOS Developer,Mobile App Developer
62,TypeScript Express.js GraphQL Next.js,Startups,BTech IT,Advanced,Azure Fundamentals,Full Stack Developer
63,SQL ETL Statistics Pandas,Reporting,Diploma CS,Beginner,IBM Data Analyst,Data Analyst
64,Terraform Google Cloud AWS CDN,Networking,BSc Computer Science,Advanced,Google Cloud Associate,Cloud Engineer
65,Kubernetes Docker AWS,Infrastructure Networking,BSc Computer Science,Intermediate,Google Cloud Associate,Cloud Engineer
66,Bash Grafana Prometheus Python Feature Engineering,Cloud Operations Automation,BE AI,Intermediate,Terraform Associate,Site Reliability Engineer
67,Ansible Helm Bash,DevOps CI/CD,BTech IT,Advanced,Kubernetes CKA AWS SA,DevOps Engineer
68,Matplotlib Jupyter Spark Scikit-learn,Machine Learning Statistics,MCA,Advanced,Google Cloud Associate TensorFlow Developer,Data Scientist
69,Vue.js REST API Figma Webpack,UI Design,BSc Computer Science,Beginner,AWS CCP,Frontend Developer
70,Scikit-learn Jupyter Python Power BI,Machine Learning Research,BTech CSE,Advanced,IBM Data Science,Data Scientist
71,PyTorch R TensorFlow,Research,BSc Computer Science,Intermediate,Google Cloud Associate,Data Scientist
72,AWS Docker Express.js GraphQL,Web Apps Full Stack Development,BTech CSE,Intermediate,Azure Fundamentals,Full Stack Developer
73,Accessibility InVision User Research Information Architecture,Product Design,BTech CSE,Beginner,Figma Expert,UI/UX Designer
74,Next.js CSS REST API HTML,Web Development JavaScript Ecosystem,BCA,Intermediate,JavaScript Algorithms,Frontend Developer
75,Scrum User Stories SQL OKRs,Business Product Strategy,MCA,Advanced,Google PM Certificate,Product Manager
76,Incident Management Grafana Kubernetes Ansible,Cloud Operations,BTech CSE,Beginner,Google Cloud SRE,Site Reliability Engineer
77,JavaScript Smart Contracts Hardhat DeFi Data Analysis,DeFi,BCA,Intermediate,Certified Blockchain Expert,Blockchain Developer
